il,yil,gosterge_kodu,gosterge,deger
Muğla,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.11
Muş,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.81
Nevşehir,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.34
Niğde,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.43
Ordu,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.78
Osmaniye,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.42
Rize,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.18
Sakarya,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.91
Samsun,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.46
Siirt,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.59
Sinop,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.43
Sivas,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.04
Tekirdağ,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.59
Tokat,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.59
Trabzon,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.02
Tunceli,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.7
Uşak,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.36
Van,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.57
Yalova,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.17
Yozgat,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.03
Zonguldak,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.66
Çanakkale,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.07
Çankırı,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.15
Çorum,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.1
İstanbul,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.61
İzmir,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.77
Şanlıurfa,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.98
Şırnak,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.2
Adana,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.19
Adıyaman,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.16
Afyon,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.0
Aksaray,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.0
Amasya,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.47
Ankara,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.43
Antalya,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.94
Ardahan,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.16
Artvin,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.02
Aydın,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.85
Ağrı,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.64
Balıkesir,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.71
Bartın,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.18
Batman,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.18
Bayburt,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.36
Bilecik,2019,yatak_1000,Bin kişiye düşen hastane yatağı,1.53
Bingöl,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.52
Bitlis,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.84
Bolu,2019,yatak_1000,Bin kişiye düşen hastane yatağı,4.62
Burdur,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.8
Bursa,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.64
Denizli,2019,yatak_1000,Bin kişiye düşen hastane yatağı,3.13
Diyarbakır,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.71
Düzce,2019,yatak_1000,Bin kişiye düşen hastane yatağı,2.02
